Summary,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
17,4.856,0.93,6.0,170.0,6.0,1013.0
12,5.211,0.92,5.0,178.0,1.0,1013.0
18,6.256,0.92,8.0,223.0,7.0,1014.0
17,7.794,0.87,10.0,240.0,11.0,1015.0
17,10.05,0.76,10.0,231.0,11.0,1015.0
17,12.2,0.66,14.0,230.0,10.0,1015.0
17,12.7,0.63,20.0,214.0,11.0,1015.0
19,13.933,0.58,24.0,222.0,11.0,1014.0
19,15.094,0.59,22.0,241.0,11.0,1014.0
17,15.15,0.5,15.0,235.0,11.0,1014.0
19,16.178,0.44,14.0,238.0,11.0,1013.0
19,16.25,0.55,15.0,211.0,11.0,1013.0
19,16.294,0.5,20.0,221.0,11.0,1012.0
19,16.1,0.56,15.0,215.0,11.0,1012.0
19,12.956,0.68,12.0,224.0,11.0,1013.0
17,13.85,0.64,12.0,231.0,11.0,1013.0
17,12.778,0.69,14.0,358.0,10.0,1014.0
17,12.15,0.72,11.0,8.0,16.0,1015.0
17,10.678,0.81,6.0,59.0,15.0,1015.0
17,10.444,0.83,3.0,63.0,16.0,1015.0
17,9.822,0.8,5.0,65.0,16.0,1016.0
17,11.028,0.74,11.0,146.0,15.0,1016.0
17,7.139,0.93,4.0,305.0,15.0,1016.0
17,7.622,0.89,11.0,327.0,15.0,1017.0
17,7.628,0.86,7.0,319.0,13.0,1017.0
17,7.044,0.86,11.0,271.0,10.0,1017.0
19,8.6,0.84,10.0,297.0,10.0,1018.0
19,9.65,0.84,16.0,289.0,10.0,1019.0
19,12.106,0.72,13.0,310.0,10.0,1020.0
19,12.778,0.71,13.0,301.0,11.0,1021.0
19,13.811,0.65,10.0,307.0,11.0,1021.0
19,16.017,0.48,11.0,307.0,11.0,1021.0
19,17.128,0.47,13.0,308.0,11.0,1020.0
19,17.144,0.43,11.0,279.0,11.0,1020.0
17,17.778,0.4,8.0,272.0,11.0,1020.0
17,17.778,0.37,3.0,351.0,11.0,1019.0
17,17.806,0.43,11.0,175.0,10.0,1018.0
17,16.156,0.52,9.0,172.0,10.0,1018.0
17,14.05,0.63,9.0,160.0,10.0,1018.0
17,13.089,0.67,9.0,138.0,10.0,1017.0
17,12.289,0.72,9.0,141.0,10.0,1018.0
18,12.778,0.66,11.0,141.0,16.0,1018.0
18,12.728,0.67,13.0,149.0,15.0,1017.0
18,12.267,0.69,14.0,151.0,16.0,1017.0
18,11.711,0.71,11.0,158.0,16.0,1017.0
19,10.828,0.86,9.0,259.0,14.0,1013.0
18,12.2,0.59,14.0,141.0,16.0,1015.0
18,12.2,0.6,14.0,151.0,16.0,1014.0
18,11.689,0.68,14.0,152.0,15.0,1014.0
18,11.206,0.77,14.0,132.0,10.0,1014.0
17,11.133,0.77,15.0,150.0,10.0,1013.0
17,11.439,0.77,14.0,163.0,10.0,1014.0
17,13.033,0.81,14.0,209.0,10.0,1013.0
17,17.244,0.62,25.0,221.0,11.0,1012.0
17,17.739,0.53,27.0,230.0,11.0,1012.0
18,17.844,0.56,22.0,251.0,11.0,1011.0
17,18.861,0.56,24.0,250.0,11.0,1011.0
18,18.667,0.56,20.0,240.0,11.0,1011.0
18,17.822,0.56,18.0,243.0,11.0,1011.0
18,17.8,0.59,18.0,281.0,11.0,1011.0
17,17.35,0.57,20.0,295.0,11.0,1011.0
17,16.067,0.67,22.0,280.0,11.0,1011.0
17,14.933,0.73,17.0,280.0,11.0,1011.0
17,13.922,0.78,12.0,279.0,11.0,1012.0
17,12.756,0.84,11.0,270.0,11.0,1012.0
17,12.756,0.84,11.0,277.0,16.0,1012.0
17,12.372,0.86,7.0,239.0,15.0,1012.0
17,11.183,0.93,7.0,241.0,16.0,1013.0
17,11.667,0.9,11.0,242.0,16.0,1013.0
19,8.978,0.95,10.0,266.0,7.0,1013.0
17,10.578,0.93,11.0,278.0,15.0,1012.0
17,10.533,0.89,14.0,269.0,15.0,1012.0
17,10.589,0.87,7.0,269.0,14.0,1013.0
17,9.983,0.89,7.0,297.0,16.0,1013.0
17,11.022,0.86,8.0,307.0,10.0,1013.0
19,13.539,0.75,12.0,305.0,10.0,1013.0
19,13.889,0.68,20.0,308.0,11.0,1013.0
19,15.0,0.67,18.0,300.0,11.0,1013.0
19,17.183,0.57,16.0,319.0,11.0,1013.0
17,16.2,0.62,16.0,309.0,11.0,1013.0
17,17.75,0.56,18.0,290.0,11.0,1013.0
17,18.406,0.54,19.0,297.0,15.0,1013.0
19,17.822,0.59,18.0,319.0,11.0,1012.0
19,17.311,0.57,20.0,310.0,11.0,1012.0
19,17.506,0.55,14.0,316.0,11.0,1011.0
17,17.267,0.54,14.0,309.0,10.0,1011.0
17,15.139,0.61,11.0,310.0,10.0,1012.0
17,13.25,0.69,5.0,325.0,10.0,1012.0
19,12.294,0.72,5.0,282.0,10.0,1012.0
19,10.7,0.79,4.0,281.0,16.0,1012.0
19,9.856,0.85,6.0,274.0,15.0,1013.0
19,9.522,0.88,11.0,280.0,12.0,1013.0
19,8.406,0.92,3.0,255.0,12.0,1013.0
17,13.011,0.82,10.0,46.0,15.0,1011.0
19,7.733,0.96,3.0,277.0,4.0,1013.0
19,6.139,0.96,3.0,284.0,4.0,1012.0
19,6.472,0.95,3.0,283.0,5.0,1013.0
12,6.628,0.96,3.0,313.0,3.0,1013.0
6,8.689,0.93,1.0,290.0,6.0,1013.0
19,11.994,0.81,2.0,345.0,10.0,1013.0
19,13.767,0.78,4.0,16.0,10.0,1013.0
19,15.089,0.77,7.0,332.0,10.0,1013.0
19,16.456,0.68,8.0,350.0,11.0,1014.0
19,17.311,0.62,7.0,330.0,11.0,1014.0
19,17.872,0.64,8.0,12.0,11.0,1013.0
19,19.039,0.47,7.0,39.0,11.0,1013.0
19,18.978,0.51,11.0,3.0,11.0,1012.0
19,19.006,0.55,5.0,9.0,11.0,1012.0
17,19.011,0.53,5.0,33.0,11.0,1011.0
17,17.867,0.64,11.0,24.0,11.0,1011.0
17,17.267,0.62,11.0,33.0,10.0,1011.0
17,16.189,0.61,5.0,25.0,10.0,1012.0
17,14.883,0.72,9.0,32.0,10.0,1012.0
17,14.328,0.75,11.0,31.0,16.0,1012.0
18,14.511,0.75,6.0,47.0,15.0,1012.0
18,14.372,0.75,7.0,67.0,16.0,1012.0
18,14.878,0.72,14.0,60.0,16.0,1011.0
12,10.406,0.92,4.0,144.0,2.0,1012.0
18,12.822,0.83,8.0,57.0,11.0,1011.0
18,12.8,0.85,14.0,31.0,15.0,1010.0
18,12.828,0.86,14.0,12.0,14.0,1010.0
18,12.267,0.85,16.0,12.0,11.0,1010.0
18,12.267,0.85,16.0,2.0,11.0,1010.0
17,12.183,0.82,12.0,11.0,11.0,1010.0
18,12.172,0.8,20.0,11.0,11.0,1010.0
18,12.711,0.83,22.0,19.0,11.0,1010.0
17,15.606,0.78,22.0,18.0,10.0,1010.0
17,16.022,0.78,18.0,20.0,11.0,1010.0
17,17.2,0.67,18.0,48.0,11.0,1010.0
18,17.217,0.71,14.0,46.0,11.0,1010.0
17,17.828,0.69,13.0,29.0,11.0,1010.0
17,17.828,0.69,15.0,19.0,11.0,1009.0
19,17.733,0.69,9.0,340.0,11.0,1010.0
17,16.272,0.71,23.0,39.0,11.0,1009.0
18,13.167,0.93,4.0,335.0,5.0,1011.0
18,13.256,0.93,3.0,228.0,8.0,1011.0
18,13.011,0.93,10.0,274.0,10.0,1011.0
17,12.456,0.91,6.0,310.0,15.0,1012.0
17,12.489,0.9,10.0,315.0,15.0,1012.0
17,9.556,0.8,6.0,146.0,16.0,1016.0
17,10.622,0.79,14.0,160.0,16.0,1015.0
19,8.722,0.93,5.0,40.0,11.0,1015.0
17,10.533,0.77,11.0,143.0,16.0,1015.0
17,9.444,0.83,7.0,133.0,16.0,1015.0
17,9.889,0.83,6.0,163.0,15.0,1015.0
17,10.367,0.78,11.0,136.0,16.0,1014.0
19,8.889,0.89,10.0,158.0,11.0,1015.0
19,9.978,0.84,8.0,151.0,11.0,1015.0
17,12.2,0.73,2.0,355.0,10.0,1015.0
17,13.961,0.67,9.0,123.0,10.0,1015.0
17,14.944,0.67,7.0,132.0,10.0,1015.0
17,16.183,0.71,12.0,199.0,10.0,1014.0
19,16.367,0.61,7.0,227.0,11.0,1015.0
19,17.372,0.57,4.0,251.0,11.0,1014.0
19,17.672,0.51,2.0,156.0,11.0,1014.0
19,17.722,0.53,9.0,113.0,11.0,1013.0
19,16.239,0.61,3.0,261.0,11.0,1013.0
17,14.067,0.71,9.0,357.0,11.0,1014.0
19,13.956,0.76,7.0,147.0,11.0,1013.0
19,12.289,0.8,4.0,161.0,11.0,1014.0
19,10.022,0.86,3.0,149.0,10.0,1014.0
19,9.378,0.86,6.0,190.0,16.0,1014.0
19,9.417,0.9,5.0,138.0,15.0,1015.0
19,11.828,0.92,3.0,311.0,16.0,1012.0
12,10.761,0.91,5.0,178.0,1.0,1012.0
17,12.156,0.95,3.0,298.0,4.0,1016.0
12,9.672,0.94,6.0,123.0,1.0,1012.0
12,8.15,0.94,7.0,10.0,1.0,1013.0
12,10.2,0.95,6.0,133.0,1.0,1013.0
12,10.117,0.99,2.0,127.0,1.0,1013.0
12,10.161,0.99,0.0,81.0,0.0,1014.0
12,11.244,0.98,3.0,358.0,1.0,1014.0
12,12.244,0.99,2.0,152.0,2.0,1014.0
18,13.911,0.92,8.0,135.0,4.0,1014.0
19,15.617,0.82,2.0,153.0,6.0,1015.0
19,15.072,0.86,3.0,120.0,6.0,1015.0
19,15.072,0.82,8.0,162.0,8.0,1015.0
18,14.267,0.87,11.0,134.0,7.0,1015.0
17,16.017,0.81,7.0,115.0,7.0,1015.0
18,15.028,0.86,8.0,139.0,7.0,1014.0
18,13.944,0.89,7.0,152.0,6.0,1015.0
18,12.917,0.95,11.0,310.0,5.0,1015.0
18,12.894,0.95,5.0,347.0,5.0,1015.0
18,12.4,0.98,2.0,72.0,6.0,1016.0
6,12.267,0.99,8.0,320.0,6.0,1016.0
17,12.222,0.96,6.0,349.0,6.0,1016.0
17,11.25,0.96,3.0,335.0,4.0,1016.0
17,11.528,0.96,3.0,358.0,5.0,1016.0
12,11.539,0.96,6.0,301.0,3.0,1017.0
12,9.439,0.96,6.0,326.0,2.0,1017.0
18,11.439,0.96,6.0,340.0,4.0,1016.0
18,11.394,0.96,6.0,350.0,4.0,1016.0
18,11.528,0.96,6.0,332.0,3.0,1016.0
12,11.95,0.93,5.0,340.0,1.0,1016.0
12,11.972,1.0,10.0,10.0,1.0,1016.0
12,12.633,0.96,8.0,7.0,2.0,1017.0
18,12.756,0.96,8.0,1.0,4.0,1017.0
18,13.844,0.9,8.0,30.0,4.0,1017.0
18,13.172,0.94,10.0,8.0,6.0,1018.0
17,15.067,0.86,8.0,345.0,6.0,1018.0
19,17.244,0.75,7.0,308.0,11.0,1018.0
19,16.317,0.76,13.0,352.0,11.0,1017.0
19,17.383,0.74,14.0,353.0,11.0,1017.0
17,15.272,0.76,8.0,85.0,11.0,1017.0
19,17.456,0.72,5.0,49.0,11.0,1016.0
19,16.222,0.77,11.0,21.0,11.0,1016.0
19,15.083,0.82,4.0,23.0,11.0,1017.0
19,13.994,0.88,1.0,35.0,10.0,1017.0
19,12.172,0.92,1.0,30.0,8.0,1017.0
12,11.089,0.95,5.0,56.0,1.0,1018.0
12,11.094,0.95,3.0,11.0,2.0,1017.0
12,9.883,0.96,3.0,349.0,1.0,1018.0
6,9.356,0.96,6.0,321.0,3.0,1018.0
6,9.861,0.96,3.0,319.0,4.0,1016.0
12,8.272,0.99,3.0,313.0,2.0,1017.0
12,8.867,0.96,3.0,337.0,2.0,1017.0
12,8.817,0.96,4.0,335.0,2.0,1017.0
12,7.156,1.0,2.0,319.0,0.0,1017.0
12,8.85,0.99,3.0,295.0,2.0,1017.0
12,11.178,0.93,3.0,285.0,3.0,1018.0
17,12.389,0.98,3.0,349.0,6.0,1018.0
17,14.144,0.88,5.0,339.0,10.0,1018.0
19,17.1,0.72,3.0,308.0,11.0,1018.0
19,18.939,0.64,4.0,306.0,11.0,1017.0
19,17.917,0.68,4.0,6.0,11.0,1017.0
19,19.983,0.53,1.0,72.0,11.0,1016.0
19,20.072,0.62,9.0,352.0,11.0,1016.0
19,20.072,0.56,9.0,2.0,11.0,1015.0
19,20.083,0.58,7.0,15.0,11.0,1015.0
19,19.089,0.63,9.0,23.0,11.0,1015.0
19,17.45,0.62,8.0,24.0,11.0,1015.0
19,15.567,0.74,1.0,116.0,10.0,1015.0
6,12.494,0.91,4.0,197.0,10.0,1016.0
6,12.244,0.89,2.0,140.0,16.0,1016.0
6,11.417,0.92,3.0,275.0,15.0,1016.0
6,10.556,0.95,6.0,290.0,15.0,1016.0
6,10.467,0.93,3.0,270.0,10.0,1016.0
19,10.25,0.95,5.0,278.0,5.0,1017.0
6,9.356,0.96,2.0,100.0,4.0,1016.0
12,8.311,0.96,3.0,300.0,2.0,1016.0
12,8.811,0.96,3.0,333.0,2.0,1016.0
12,8.733,0.93,6.0,304.0,1.0,1016.0
19,11.933,0.93,11.0,140.0,10.0,1016.0
19,14.517,0.84,2.0,129.0,10.0,1016.0
19,18.733,0.68,3.0,300.0,10.0,1016.0
19,20.028,0.6,7.0,160.0,10.0,1016.0
19,21.039,0.55,6.0,209.0,10.0,1017.0
19,20.739,0.46,7.0,179.0,16.0,1017.0
19,22.317,0.48,8.0,235.0,11.0,1016.0
19,22.111,0.5,6.0,145.0,11.0,1016.0
19,22.733,0.38,1.0,262.0,10.0,1015.0
19,22.778,0.37,5.0,90.0,10.0,1015.0
19,21.217,0.41,7.0,58.0,11.0,1015.0
19,20.183,0.45,1.0,179.0,10.0,1015.0
19,18.011,0.68,0.0,157.0,10.0,1015.0
19,17.422,0.65,1.0,139.0,10.0,1016.0
19,13.961,0.82,0.0,0.0,10.0,1016.0
19,13.289,0.89,3.0,329.0,16.0,1017.0
19,12.322,0.89,2.0,262.0,10.0,1017.0
19,11.117,0.95,3.0,268.0,6.0,1017.0
19,10.533,0.95,11.0,280.0,6.0,1017.0
6,12.383,0.8,5.0,172.0,14.0,1020.0
19,9.861,0.96,3.0,273.0,4.0,1017.0
19,8.872,0.95,2.0,320.0,3.0,1017.0
19,8.672,0.94,4.0,317.0,4.0,1018.0
12,7.689,1.0,0.0,0.0,1.0,1018.0
6,10.911,0.99,2.0,210.0,4.0,1019.0
6,14.839,0.82,3.0,193.0,8.0,1019.0
6,18.8,0.65,2.0,140.0,10.0,1019.0
6,21.094,0.49,5.0,199.0,10.0,1020.0
19,22.028,0.49,4.0,226.0,11.0,1020.0
19,22.828,0.47,4.0,188.0,11.0,1020.0
19,22.917,0.37,5.0,292.0,10.0,1019.0
19,23.917,0.37,6.0,154.0,10.0,1019.0
19,23.911,0.4,3.0,333.0,10.0,1019.0
19,23.933,0.37,4.0,178.0,10.0,1019.0
19,23.917,0.32,1.0,205.0,10.0,1019.0
19,22.822,0.44,3.0,214.0,10.0,1019.0
19,21.228,0.48,0.0,181.0,10.0,1019.0
19,19.078,0.51,3.0,185.0,10.0,1019.0
19,17.061,0.63,2.0,228.0,10.0,1020.0
6,14.906,0.72,4.0,136.0,16.0,1020.0
6,13.083,0.87,3.0,185.0,15.0,1020.0
6,12.711,0.89,3.0,169.0,16.0,1020.0
6,12.128,0.89,3.0,148.0,15.0,1020.0
6,11.811,0.84,5.0,68.0,15.0,1018.0
6,12.017,0.8,6.0,169.0,15.0,1020.0
6,12.044,0.8,6.0,187.0,15.0,1020.0
19,10.628,0.86,10.0,151.0,14.0,1020.0
6,9.911,0.99,9.0,141.0,6.0,1021.0
17,12.556,0.9,8.0,169.0,10.0,1021.0
19,15.006,0.78,9.0,154.0,10.0,1021.0
19,17.339,0.74,12.0,150.0,10.0,1021.0
19,19.1,0.67,13.0,150.0,10.0,1021.0
19,21.261,0.57,10.0,147.0,10.0,1021.0
19,22.411,0.54,11.0,168.0,11.0,1020.0
17,22.939,0.5,9.0,155.0,11.0,1020.0
17,23.928,0.47,11.0,153.0,11.0,1019.0
17,23.961,0.47,8.0,142.0,10.0,1019.0
17,23.961,0.38,9.0,150.0,10.0,1018.0
17,23.111,0.42,11.0,145.0,10.0,1018.0
17,22.822,0.44,12.0,178.0,10.0,1018.0
17,21.111,0.47,5.0,137.0,10.0,1018.0
17,18.189,0.58,5.0,95.0,10.0,1018.0
17,16.017,0.72,5.0,50.0,10.0,1018.0
19,15.467,0.72,6.0,80.0,16.0,1019.0
19,14.606,0.76,7.0,83.0,15.0,1019.0
6,13.311,0.82,4.0,73.0,16.0,1018.0
6,12.733,0.83,3.0,70.0,16.0,1018.0
19,13.789,0.77,6.0,50.0,15.0,1015.0
19,10.578,0.88,6.0,190.0,16.0,1018.0
19,10.483,0.92,3.0,340.0,15.0,1018.0
19,10.289,0.91,4.0,48.0,15.0,1018.0
6,9.972,0.92,2.0,106.0,11.0,1018.0
17,13.639,0.9,3.0,193.0,10.0,1018.0
17,16.739,0.74,7.0,147.0,10.0,1018.0
17,18.839,0.65,3.0,94.0,10.0,1018.0
17,21.161,0.59,5.0,178.0,10.0,1017.0
17,22.589,0.53,4.0,117.0,10.0,1017.0
17,22.894,0.48,8.0,53.0,11.0,1017.0
17,24.006,0.47,10.0,82.0,11.0,1016.0
17,24.006,0.35,8.0,70.0,11.0,1016.0
17,23.978,0.44,9.0,136.0,11.0,1015.0
17,25.044,0.32,4.0,185.0,11.0,1014.0
17,24.078,0.35,5.0,101.0,10.0,1013.0
17,22.383,0.45,9.0,102.0,10.0,1013.0
17,21.206,0.52,4.0,101.0,10.0,1013.0
17,18.261,0.62,6.0,28.0,10.0,1014.0
17,17.2,0.67,14.0,30.0,10.0,1014.0
19,15.994,0.75,3.0,54.0,10.0,1014.0
6,15.961,0.79,12.0,23.0,12.0,1014.0
17,15.444,0.72,14.0,31.0,16.0,1014.0
19,14.372,0.75,11.0,52.0,16.0,1014.0
17,13.606,0.9,10.0,53.0,12.0,1013.0
19,12.822,0.82,6.0,48.0,16.0,1013.0
19,12.75,0.83,3.0,72.0,16.0,1013.0
19,11.417,0.92,6.0,38.0,15.0,1013.0
19,12.333,0.86,2.0,139.0,10.0,1013.0
17,14.906,0.78,10.0,160.0,10.0,1013.0
17,15.894,0.74,10.0,154.0,10.0,1013.0
17,17.228,0.72,12.0,147.0,10.0,1013.0
17,17.828,0.73,7.0,166.0,10.0,1013.0
17,17.917,0.72,10.0,158.0,10.0,1013.0
17,19.056,0.67,9.0,128.0,10.0,1013.0
17,20.144,0.67,8.0,177.0,10.0,1013.0
17,20.261,0.62,4.0,166.0,10.0,1013.0
17,21.206,0.62,5.0,170.0,10.0,1012.0
18,21.256,0.67,5.0,164.0,10.0,1011.0
18,20.233,0.66,7.0,161.0,10.0,1011.0
18,19.078,0.71,8.0,153.0,10.0,1011.0
17,17.944,0.77,11.0,142.0,10.0,1011.0
17,15.494,0.82,21.0,151.0,11.0,1012.0
17,14.144,0.89,8.0,146.0,10.0,1013.0
17,14.539,0.86,11.0,103.0,12.0,1013.0
17,14.139,0.86,4.0,142.0,12.0,1013.0
17,13.4,0.9,4.0,116.0,12.0,1013.0
17,13.428,0.9,3.0,71.0,12.0,1013.0
19,11.589,0.74,5.0,139.0,15.0,1010.0
17,14.422,0.83,11.0,63.0,15.0,1012.0
17,13.917,0.86,11.0,72.0,15.0,1012.0
17,13.4,0.9,10.0,82.0,14.0,1012.0
18,13.867,0.9,8.0,106.0,10.0,1012.0
17,14.906,0.84,11.0,108.0,10.0,1012.0
17,15.933,0.74,11.0,132.0,9.0,1012.0
17,17.128,0.65,20.0,138.0,10.0,1011.0
17,18.75,0.58,19.0,157.0,10.0,1011.0
17,18.961,0.6,17.0,147.0,10.0,1011.0
17,19.994,0.54,17.0,136.0,10.0,1011.0
17,21.111,0.5,17.0,129.0,10.0,1010.0
17,21.094,0.46,22.0,140.0,10.0,1010.0
19,21.178,0.43,20.0,157.0,10.0,1010.0
19,21.228,0.41,16.0,156.0,11.0,1009.0
19,20.1,0.45,14.0,137.0,11.0,1009.0
17,19.028,0.51,10.0,147.0,11.0,1008.0
17,17.85,0.59,14.0,121.0,11.0,1008.0
17,16.261,0.66,11.0,122.0,10.0,1009.0
19,14.983,0.72,14.0,129.0,11.0,1010.0
17,14.467,0.65,11.0,139.0,15.0,1010.0
19,13.944,0.6,11.0,150.0,15.0,1010.0
19,12.317,0.65,11.0,139.0,16.0,1010.0
19,11.761,0.66,11.0,159.0,16.0,1009.0
17,10.828,0.62,13.0,142.0,15.0,1011.0
19,10.139,0.73,11.0,141.0,16.0,1009.0
19,10.628,0.71,11.0,160.0,15.0,1009.0
19,10.606,0.69,14.0,157.0,15.0,1009.0
17,10.072,0.71,16.0,139.0,10.0,1009.0
17,11.161,0.71,22.0,149.0,10.0,1009.0
19,12.889,0.67,23.0,150.0,10.0,1009.0
6,15.05,0.6,26.0,149.0,11.0,1009.0
